male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
1252,Macintosh,16
1253,Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
Macintosh,16
Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
Macintosh,16
Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
Macintosh,16
Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
Macintosh,16
Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
Macintosh,16
Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
Macintosh,16
Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
Macintosh,16
Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
Fort Worth,0,2,0
Washington,0,1,0
San Jose,1,0,0
San Francisco,0,1,0
San Diego,0,1,0
Phoenix,0,2,0
Columbus,3,2,0
Denver,1,0,0
Los Angeles,1,0,0
Dallas,0,2,0
Jacksonville,0,2,0
Philadelphia,0,2,0
Houston,1,0,0
Indianapolis,2,0,0
Macintosh,16
Windows NT 10.0,14
male,13
female,17
other,0
0-10,0,0,0
11-20,0,0,0
21-30,2,10,0
31-40,9,6,0
41-50,2,1,0
51-60,0,0,0
61-70,0,0,0
71-80,0,0,0
81-90,0,0,0
81+,0,0,0
91+,0,0,0
New York,2,1,0
Seattle,1,0,0
San Antonio,1,0,0
Chicago,0,1,0
